"BALD_","lat","long"
1,27.2014489953043,-81.3555368424449
1,27.2005608611745,-81.3556754622259
2,27.2032213310511,-81.3575232848541
3,27.2042334320024,-81.3579901240296
4,27.1959776119527,-81.3652582044368
5,27.195279666624,-81.3648661990742
5,27.195407447796,-81.3646180696211
6,27.1947026663729,-81.3571937642662
7,27.1939747354167,-81.3531458790661
7,27.1934868506632,-81.3529874735642
8,27.192564133372,-81.3585570610684
9,27.191514621069,-81.3585487797737
10,27.1901794846314,-81.3630585648691
11,27.1883084609231,-81.3627903518529
12,27.1885213998883,-81.3617844690178
13,27.1892061936717,-81.3618119829058
14,27.187575141572,-81.3598611938787
15,27.1864855439123,-81.3559900684742
16,27.1840576106612,-81.3652278293868
18,27.1796524895743,-81.3648883468721
19,27.1780272734275,-81.3650249225844
20,27.175374564812,-81.3640201125495
21,27.1792443480794,-81.3638183464932
21,27.1790581175143,-81.3637923050774
22,27.1784640625265,-81.3621998669087
23,27.1783269873463,-81.3611947449705
24,27.1793387770409,-81.3604817630663
25,27.1724078823659,-81.3583374587795
26,27.1704747657447,-81.3629001568261
27,27.1693669542385,-81.3640073770867
28,27.1660497011119,-81.3634481630122
29,27.1633700437137,-81.3635498159172
31,27.1607326884461,-81.3620677193568
32,27.1604568633045,-81.3627431831072
34,27.1593942693202,-81.3643431468983
35,27.1570253506178,-81.3611738413833
36,27.1604036587666,-81.3650655348691
37,27.1560851072979,-81.3619382370722
38,27.1565265436494,-81.3643254431206
39,27.1537667341235,-81.3646510679839
40,27.1525339409325,-81.3652440414826
41,27.1481232424834,-81.3638281622935
42,27.1459827702541,-81.364568505493
43,27.1484243151363,-81.3585949622219
44,27.1461259491074,-81.3583455238095
45,27.1825697839243,-81.3644391997777
46,27.1454769082589,-81.3570685162898
47,27.1432510537942,-81.3569859270524
48,27.1427690219849,-81.3649011583839
49,27.1403370443395,-81.3638281064836
49,27.1407360724193,-81.364230472024
50,27.1395937477248,-81.3630453261939
51,27.1390265257507,-81.3638719792469
52,27.1379226092596,-81.3636307127526
53,27.1421731862243,-81.3563481859423
54,27.1393771776095,-81.3572164462706
55,27.1407634269603,-81.3553177824134
57,27.1375144304024,-81.3606519464964
58,27.1366640858221,-81.3614293449992
59,27.1359194843898,-81.3652531770125
60,27.1361534580159,-81.3583136908557
61,27.1358333770329,-81.3567963273042
62,27.1352206735678,-81.3593510431637
63,27.1336870621219,-81.3599072540097
65,27.1303100797257,-81.3647438108651
66,27.131561893541,-81.3608118978719
67,27.1315728114384,-81.3598433041633
68,27.1313332751773,-81.3586280488548
69,27.1307706989824,-81.3577586519551
70,27.130613188643,-81.3565526080976
72,27.129302628755,-81.3577733739892
73,27.1303628608527,-81.3594668560559
76,27.1287012753227,-81.3590024052221
77,27.1292021878034,-81.3602492817446
78,27.1296363802859,-81.3618040888002
79,27.128482969762,-81.3621111776261
80,27.1266825956915,-81.3625799033092
81,27.1270659243955,-81.3614821399928
82,27.1279492903215,-81.3588707838667
83,27.1280508826405,-81.3579204988654
85,27.1261844445855,-81.3587672064054
87,27.1251628295297,-81.3571895493961
88,27.1255773645163,-81.3603353858855
89,27.1245507098402,-81.3605773907827
90,27.1239373168404,-81.359855439805
91,27.1232813298023,-81.3620500993032
92,27.1219894605508,-81.3642624524941
93,27.1213679236578,-81.3619047436923
94,27.1371504638137,-81.3650533213092
95,27.1249230914279,-81.3623352511108
97,27.2076982381583,-81.3557286169077
99,27.2074442428809,-81.357160891691
